Category Name,Extract Schedule (UTC),Transform Schedule (UTC),Extract Item Schedule (UTC),Transform Item Schedule (UTC),Extract Container Name,Extract Cron Schedule,Transform Container Name,Transform Cron Schedule,Extract Item Container Name,Extract Item Cron Schedule,Transform Item Container Name,Transform Item Cron Schedule,category_code
Pakaian-Anak-Laki-Laki-cat.11043031.11043077,2:45,3:45,7:45,12:45,shp-ext-pakaian-anak-laki-laki,45 2 * * *,shp-tfm-pakaian-anak-laki-laki,45 3 * * *,shp-ext-pakaian-anak-laki-laki-itm,45 7 * * *,shp-tfm-pakaian-anak-laki-laki-itm,45 12 * * *,11043077
Pakaian-Anak-Perempuan-cat.11043031.11043092,3:00,4:00,8:15,13:15,shp-ext-pakaian-anak-perempuan,0 3 * * *,shp-tfm-pakaian-anak-perempuan,0 4 * * *,shp-ext-pakaian-anak-perempuan-itm,15 8 * * *,shp-tfm-pakaian-anak-perempuan-itm,15 13 * * *,11043092
Sepatu-Anak-Laki-Laki-cat.11043031.11043110,3:00,4:00,8:45,13:45,shp-ext-sepatu-anak-laki-laki,0 3 * * *,shp-tfm-sepatu-anak-laki-laki,0 4 * * *,shp-ext-sepatu-anak-laki-laki-itm,45 8 * * *,shp-tfm-sepatu-anak-laki-laki-itm,45 13 * * *,11043110
Sepatu-Anak-Perempuan-cat.11043031.11043118,3:00,4:00,9:15,14:15,shp-ext-sepatu-anak-perempuan,0 3 * * *,shp-tfm-sepatu-anak-perempuan,0 4 * * *,shp-ext-sepatu-anak-perempuan-itm,15 9 * * *,shp-tfm-sepatu-anak-perempuan-itm,15 14 * * *,11043118
Tas-Anak-Laki-Laki-cat.11043031.11043044,3:00,4:00,9:45,14:45,shp-ext-tas-anak-laki-laki,0 3 * * *,shp-tfm-tas-anak-laki-laki,0 4 * * *,shp-ext-tas-anak-laki-laki-itm,45 9 * * *,shp-tfm-tas-anak-laki-laki-itm,45 14 * * *,11043044
Tas-Anak-Perempuan-cat.11043031.11043050,3:00,4:00,10:15,15:15,shp-ext-tas-anak-perempuan,0 3 * * *,shp-tfm-tas-anak-perempuan,0 4 * * *,shp-ext-tas-anak-perempuan-itm,15 10 * * *,shp-tfm-tas-anak-perempuan-itm,15 15 * * *,11043050
Aksesoris-Bayi-Anak-cat.11043031.11043056,3:15,4:15,10:45,15:45,shp-ext-aksesoris-bayi-anak,15 3 * * *,shp-tfm-aksesoris-bayi-anak,15 4 * * *,shp-ext-aksesoris-bayi-anak-itm,45 10 * * *,shp-tfm-aksesoris-bayi-anak-itm,45 15 * * *,11043056
Perlengkapan-Hujan-cat.11043031.11043067,3:15,4:15,11:15,16:15,shp-ext-perlengkapan-hujan,15 3 * * *,shp-tfm-perlengkapan-hujan,15 4 * * *,shp-ext-perlengkapan-hujan-itm,15 11 * * *,shp-tfm-perlengkapan-hujan-itm,15 16 * * *,11043067
Perhiasan-cat.11043031.11043071,3:15,4:15,11:45,16:45,shp-ext-perhiasan,15 3 * * *,shp-tfm-perhiasan,15 4 * * *,shp-ext-perhiasan-itm,45 11 * * *,shp-tfm-perhiasan-itm,45 16 * * *,11043071
Hijab-cat.11042684.11042685,3:15,4:15,12:15,17:15,shp-ext-hijab,15 3 * * *,shp-tfm-hijab,15 4 * * *,shp-ext-hijab-itm,15 12 * * *,shp-tfm-hijab-itm,15 17 * * *,11042685
Aksesoris-Muslim-cat.11042684.11042693,3:15,4:15,12:45,17:45,shp-ext-aksesoris-muslim,15 3 * * *,shp-tfm-aksesoris-muslim,15 4 * * *,shp-ext-aksesoris-muslim-itm,45 12 * * *,shp-tfm-aksesoris-muslim-itm,45 17 * * *,11042693
