Category URL,Category Name,Extract Schedule (UTC),Transform Schedule (UTC),Extract Item Schedule (UTC),Transform Item Schedule (UTC),Extract Container Name,Extract Cron Schedule,Transform Container Name,Transform Cron Schedule,Extract Item Container Name,Extract Item Cron Schedule,Transform Item Container Name,Transform Item Cron Schedule
https://www.tokopedia.com/p/mainan-hobi/aksesoris-airsoft-gun,Aksesoris Airsoft Gun,0:00,1:00,2:00,7:00,tkp-ext-aksesoris-airsoft-gun,0 0 * * *,tkp-tfm-aksesoris-airsoft-gun,0 1 * * *,tkp-ext-aksesoris-airsoft-gun-item,0 2 * * *,tkp-tfm-aksesoris-airsoft-gun-item,0 7 * * *
https://www.tokopedia.com/p/fashion-anak-bayi/aksesoris-anak,Aksesoris Anak,0:00,1:00,2:30,7:30,tkp-ext-aksesoris-anak,0 0 * * *,tkp-tfm-aksesoris-anak,0 1 * * *,tkp-ext-aksesoris-anak-item,30 2 * * *,tkp-tfm-aksesoris-anak-item,30 7 * * *
https://www.tokopedia.com/p/fashion-anak-bayi/aksesoris-bayi,Aksesoris Bayi,0:00,1:00,3:00,8:00,tkp-ext-aksesoris-bayi,0 0 * * *,tkp-tfm-aksesoris-bayi,0 1 * * *,tkp-ext-aksesoris-bayi-item,0 3 * * *,tkp-tfm-aksesoris-bayi-item,0 8 * * *
https://www.tokopedia.com/p/dapur/aksesoris-dapur,Aksesoris Dapur,0:00,1:00,3:30,8:30,tkp-ext-aksesoris-dapur,0 0 * * *,tkp-tfm-aksesoris-dapur,0 1 * * *,tkp-ext-aksesoris-dapur-item,30 3 * * *,tkp-tfm-aksesoris-dapur-item,30 8 * * *
https://www.tokopedia.com/p/gaming/aksesoris-game-console,Aksesoris Game Console,0:00,1:00,4:00,9:00,tkp-ext-aksesoris-game-console,0 0 * * *,tkp-tfm-aksesoris-game-console,0 1 * * *,tkp-ext-aksesoris-game-console-item,0 4 * * *,tkp-tfm-aksesoris-game-console-item,0 9 * * *
https://www.tokopedia.com/p/handphone-tablet/aksesoris-handphone,Aksesoris Handphone,0:15,1:15,4:30,9:30,tkp-ext-aksesoris-handphone,15 0 * * *,tkp-tfm-aksesoris-handphone,15 1 * * *,tkp-ext-aksesoris-handphone-item,30 4 * * *,tkp-tfm-aksesoris-handphone-item,30 9 * * *
https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera,Aksesoris Kamera,0:15,1:15,5:00,10:00,tkp-ext-aksesoris-kamera,15 0 * * *,tkp-tfm-aksesoris-kamera,15 1 * * *,tkp-ext-aksesoris-kamera-item,0 5 * * *,tkp-tfm-aksesoris-kamera-item,0 10 * * *
https://www.tokopedia.com/p/komputer-laptop/aksesoris-komputer-laptop,Aksesoris Komputer & Laptop,0:15,1:15,5:30,10:30,tkp-ext-aksesoris-komputer-laptop,15 0 * * *,tkp-tfm-aksesoris-komputer-laptop,15 1 * * *,tkp-ext-aksesoris-komputer-laptop-item,30 5 * * *,tkp-tfm-aksesoris-komputer-laptop-item,30 10 * * *
https://www.tokopedia.com/p/gaming/aksesoris-mobile-gaming,Aksesoris Mobile Gaming,0:15,1:15,6:00,11:00,tkp-ext-aksesoris-mobile-gaming,15 0 * * *,tkp-tfm-aksesoris-mobile-gaming,15 1 * * *,tkp-ext-aksesoris-mobile-gaming-item,0 6 * * *,tkp-tfm-aksesoris-mobile-gaming-item,0 11 * * *
https://www.tokopedia.com/p/otomotif/aksesoris-motor,Aksesoris Motor,0:15,1:15,6:30,11:30,tkp-ext-aksesoris-motor,15 0 * * *,tkp-tfm-aksesoris-motor,15 1 * * *,tkp-ext-aksesoris-motor-item,30 6 * * *,tkp-tfm-aksesoris-motor-item,30 11 * * *
https://www.tokopedia.com/p/fashion-muslim/aksesoris-muslim,Aksesoris Muslim,0:30,1:30,7:00,12:00,tkp-ext-aksesoris-muslim,30 0 * * *,tkp-tfm-aksesoris-muslim,30 1 * * *,tkp-ext-aksesoris-muslim-item,0 7 * * *,tkp-tfm-aksesoris-muslim-item,0 12 * * *
https://www.tokopedia.com/p/olahraga/aksesoris-olahraga,Aksesoris Olahraga,0:30,1:30,7:30,12:30,tkp-ext-aksesoris-olahraga,30 0 * * *,tkp-tfm-aksesoris-olahraga,30 1 * * *,tkp-ext-aksesoris-olahraga-item,30 7 * * *,tkp-tfm-aksesoris-olahraga-item,30 12 * * *
https://www.tokopedia.com/p/komputer-laptop/aksesoris-pc-gaming,Aksesoris PC Gaming,0:30,1:30,8:00,13:00,tkp-ext-aksesoris-pc-gaming,30 0 * * *,tkp-tfm-aksesoris-pc-gaming,30 1 * * *,tkp-ext-aksesoris-pc-gaming-item,0 8 * * *,tkp-tfm-aksesoris-pc-gaming-item,0 13 * * *
https://www.tokopedia.com/p/wedding/aksesoris-pengantin-pria,Aksesoris Pengantin Pria,0:30,1:30,8:30,13:30,tkp-ext-aksesoris-pengantin-pria,30 0 * * *,tkp-tfm-aksesoris-pengantin-pria,30 1 * * *,tkp-ext-aksesoris-pengantin-pria-item,30 8 * * *,tkp-tfm-aksesoris-pengantin-pria-item,30 13 * * *
https://www.tokopedia.com/p/otomotif/aksesoris-pengendara-motor,Aksesoris Pengendara Motor,0:30,1:30,9:00,14:00,tkp-ext-aksesoris-pengendara-motor,30 0 * * *,tkp-tfm-aksesoris-pengendara-motor,30 1 * * *,tkp-ext-aksesoris-pengendara-motor-item,0 9 * * *,tkp-tfm-aksesoris-pengendara-motor-item,0 14 * * *
https://www.tokopedia.com/p/fashion-pria/aksesoris-pria,Aksesoris Pria,0:45,1:45,9:30,14:30,tkp-ext-aksesoris-pria,45 0 * * *,tkp-tfm-aksesoris-pria,45 1 * * *,tkp-ext-aksesoris-pria-item,30 9 * * *,tkp-tfm-aksesoris-pria-item,30 14 * * *
https://www.tokopedia.com/p/kecantikan/aksesoris-rambut,Aksesoris Rambut,0:45,1:45,10:00,15:00,tkp-ext-aksesoris-rambut,45 0 * * *,tkp-tfm-aksesoris-rambut,45 1 * * *,tkp-ext-aksesoris-rambut-item,0 10 * * *,tkp-tfm-aksesoris-rambut-item,0 15 * * *
https://www.tokopedia.com/p/fashion-pria/aksesoris-sepatu-pria,Aksesoris Sepatu Pria,0:45,1:45,10:30,15:30,tkp-ext-aksesoris-sepatu-pria,45 0 * * *,tkp-tfm-aksesoris-sepatu-pria,45 1 * * *,tkp-ext-aksesoris-sepatu-pria-item,30 10 * * *,tkp-tfm-aksesoris-sepatu-pria-item,30 15 * * *
