Category URL,Category Name,Extract Schedule (UTC),Transform Schedule (UTC),Extract Item Schedule (UTC),Transform Item Schedule (UTC),Extract Container Name,Extract Cron Schedule,Transform Container Name,Transform Cron Schedule,Extract Item Container Name,Extract Item Cron Schedule,Transform Item Container Name,Transform Item Cron Schedule
https://www.tokopedia.com/p/komputer-laptop/software,Software,16:45,17:45,2:00,7:00,tkp-ext-software,45 16 * * *,tkp-tfm-software,45 17 * * *,tkp-ext-software-item,0 2 * * *,tkp-tfm-software-item,0 7 * * *
https://www.tokopedia.com/p/buku/sosial-politik,Sosial Politik,16:45,17:45,2:30,7:30,tkp-ext-sosial-politik,45 16 * * *,tkp-tfm-sosial-politik,45 17 * * *,tkp-ext-sosial-politik-item,30 2 * * *,tkp-tfm-sosial-politik-item,30 7 * * *
https://www.tokopedia.com/p/wedding/souvenir-seserahan,Souvenir & Seserahan,16:45,17:45,3:00,8:00,tkp-ext-souvenir-seserahan,45 16 * * *,tkp-tfm-souvenir-seserahan,45 17 * * *,tkp-ext-souvenir-seserahan-item,0 3 * * *,tkp-tfm-souvenir-seserahan-item,0 8 * * *
https://www.tokopedia.com/p/otomotif/spare-part-mobil,Spare Part Mobil,16:45,17:45,3:30,8:30,tkp-ext-spare-part-mobil,45 16 * * *,tkp-tfm-spare-part-mobil,45 17 * * *,tkp-ext-spare-part-mobil-item,30 3 * * *,tkp-tfm-spare-part-mobil-item,30 8 * * *
https://www.tokopedia.com/p/otomotif/spare-part-motor,Spare Part Motor,0:05,1:05,4:00,9:00,tkp-ext-spare-part-motor,5 0 * * *,tkp-tfm-spare-part-motor,5 1 * * *,tkp-ext-spare-part-motor-item,0 4 * * *,tkp-tfm-spare-part-motor-item,0 9 * * *
https://www.tokopedia.com/p/mainan-hobi/stress-relieve-toys,Stress Relieve Toys,0:05,1:05,4:30,9:30,tkp-ext-stress-relieve-toys,5 0 * * *,tkp-tfm-stress-relieve-toys,5 1 * * *,tkp-ext-stress-relieve-toys-item,30 4 * * *,tkp-tfm-stress-relieve-toys-item,30 9 * * *
https://www.tokopedia.com/p/ibu-bayi/stroller-alat-bantu-bawa-bayi,Stroller & Alat Bantu Bawa Bayi,0:05,1:05,5:00,10:00,tkp-ext-stroller-alat-bantu-bawa-bayi,5 0 * * *,tkp-tfm-stroller-alat-bantu-bawa-bayi,5 1 * * *,tkp-ext-stroller-alat-bantu-bawa-bayi-item,0 5 * * *,tkp-tfm-stroller-alat-bantu-bawa-bayi-item,0 10 * * *
https://www.tokopedia.com/p/kecantikan/styling-rambut-wanita,Styling Rambut Wanita,0:05,1:05,5:30,10:30,tkp-ext-styling-rambut-wanita,5 0 * * *,tkp-tfm-styling-rambut-wanita,5 1 * * *,tkp-ext-styling-rambut-wanita-item,30 5 * * *,tkp-tfm-styling-rambut-wanita-item,30 10 * * *
https://www.tokopedia.com/p/kesehatan/suplemen-diet,Suplemen Diet,0:05,1:05,6:00,11:00,tkp-ext-suplemen-diet,5 0 * * *,tkp-tfm-suplemen-diet,5 1 * * *,tkp-ext-suplemen-diet-item,0 6 * * *,tkp-tfm-suplemen-diet-item,0 11 * * *
https://www.tokopedia.com/p/kecantikan/suplemen-kecantikan-collagen,Suplemen Kecantikan Collagen,0:20,1:20,6:30,11:30,tkp-ext-suplemen-kecantikan-collagen,20 0 * * *,tkp-tfm-suplemen-kecantikan-collagen,20 1 * * *,tkp-ext-suplemen-kecantikan-collagen-item,30 6 * * *,tkp-tfm-suplemen-kecantikan-collagen-item,30 11 * * *
