Category Code,Code Unik,Category,Pop Up,Link
beli-keyboard,/?ajax=true&isFirstRequest=true&page=,Keyboard Komputer,0,https://www.lazada.co.id/beli-keyboard/?ajax=true&isFirstRequest=true&page=
beli-monitor,/?ajax=true&isFirstRequest=true&page=,Monitor,0,https://www.lazada.co.id/beli-monitor/?ajax=true&isFirstRequest=true&page=
adaptor-jaringan,/?ajax=true&isFirstRequest=true&page=,Adaptor Jaringan,0,https://www.lazada.co.id/adaptor-jaringan/?ajax=true&isFirstRequest=true&page=
beli-audio-pc,/?ajax=true&isFirstRequest=true&page=,Audio PC,0,https://www.lazada.co.id/beli-audio-pc/?ajax=true&isFirstRequest=true&page=
jual-adaptor-kabel,/?ajax=true&isFirstRequest=true&page=,Adaptor & Kabel,0,https://www.lazada.co.id/jual-adaptor-kabel/?ajax=true&isFirstRequest=true&page=
beli-adaptor-baterai-komputer,/?ajax=true&isFirstRequest=true&page=,Adaptor Baterai Komputer,0,https://www.lazada.co.id/beli-adaptor-baterai-komputer/?ajax=true&isFirstRequest=true&page=
beli-mousepad,/?ajax=true&isFirstRequest=true&page=,Mousepad,0,https://www.lazada.co.id/beli-mousepad/?ajax=true&isFirstRequest=true&page=
beli-alas-pendingin,/?ajax=true&isFirstRequest=true&page=,Cooling Pads,0,https://www.lazada.co.id/beli-alas-pendingin/?ajax=true&isFirstRequest=true&page=
shop-audio,/?ajax=true&isFirstRequest=true&page=,Audio,0,https://www.lazada.co.id/shop-audio/?ajax=true&isFirstRequest=true&page=
beli-headphone-dan-headset,/?ajax=true&isFirstRequest=true&page=,Headphone & Headset,0,https://www.lazada.co.id/beli-headphone-dan-headset/?ajax=true&isFirstRequest=true&page=
beli-audio-player,/?ajax=true&isFirstRequest=true&page=,Speaker Portable,0,https://www.lazada.co.id/beli-audio-player/?ajax=true&isFirstRequest=true&page=
beli-speaker-smart,/?ajax=true&isFirstRequest=true&page=,Speaker Smart,0,https://www.lazada.co.id/beli-speaker-smart/?ajax=true&isFirstRequest=true&page=
shop-perangkat-pintar,/?ajax=true&isFirstRequest=true&page=,Aksesoris Berteknologi,0,https://www.lazada.co.id/shop-perangkat-pintar/?ajax=true&isFirstRequest=true&page=
shop-smartwatch,/?ajax=true&isFirstRequest=true&page=,Smart Watch,0,https://www.lazada.co.id/shop-smartwatch/?ajax=true&isFirstRequest=true&page=
shop-tali-smartwatch,/?ajax=true&isFirstRequest=true&page=,Aksesoris Smart Watch,0,https://www.lazada.co.id/shop-tali-smartwatch/?ajax=true&isFirstRequest=true&page=
beli-tracker-fitness-aktivitas,/?ajax=true&isFirstRequest=true&page=,Activity Tracker,0,https://www.lazada.co.id/beli-tracker-fitness-aktivitas/?ajax=true&isFirstRequest=true&page=
jual-strap-tracker-aktivitas,/?ajax=true&isFirstRequest=true&page=,Aksesoris Fitness Tracker,0,https://www.lazada.co.id/jual-strap-tracker-aktivitas/?ajax=true&isFirstRequest=true&page=
jual-virtual-reality,/?ajax=true&isFirstRequest=true&page=,Virtual Reality,0,https://www.lazada.co.id/jual-virtual-reality/?ajax=true&isFirstRequest=true&page=
jual-kendali-gerakan,/?ajax=true&isFirstRequest=true&page=,Kendali Gerakan,0,https://www.lazada.co.id/jual-kendali-gerakan/?ajax=true&isFirstRequest=true&page=
beli-smart-glasses,/?ajax=true&isFirstRequest=true&page=,Kacamata Pintar,0,https://www.lazada.co.id/beli-smart-glasses/?ajax=true&isFirstRequest=true&page=
beli-aksesoris-2,/?ajax=true&isFirstRequest=true&page=,Aksesoris Kamera,0,https://www.lazada.co.id/beli-aksesoris-2/?ajax=true&isFirstRequest=true&page=
beli-tripod-monopod,/?ajax=true&isFirstRequest=true&page=,Tripod & Monopod,0,https://www.lazada.co.id/beli-tripod-monopod/?ajax=true&isFirstRequest=true&page=
beli-kartu-memori,/?ajax=true&isFirstRequest=true&page=,Kartu Memori,0,https://www.lazada.co.id/beli-kartu-memori/?ajax=true&isFirstRequest=true&page=
beli-lensa-kamera,/?ajax=true&isFirstRequest=true&page=,Lensa Kamera,0,https://www.lazada.co.id/beli-lensa-kamera/?ajax=true&isFirstRequest=true&page=
beli-flash,/?ajax=true&isFirstRequest=true&page=,Flash,0,https://www.lazada.co.id/beli-flash/?ajax=true&isFirstRequest=true&page=
beli-sarung-pelindung-tas-kamera,/?ajax=true&isFirstRequest=true&page=,"Sarung, Pelindung & Tas Kamera",0,https://www.lazada.co.id/beli-sarung-pelindung-tas-kamera/?ajax=true&isFirstRequest=true&page=
beli-charger-baterai,/?ajax=true&isFirstRequest=true&page=,Charger Kamera,0,https://www.lazada.co.id/beli-charger-baterai/?ajax=true&isFirstRequest=true&page=
beli-baterai,/?ajax=true&isFirstRequest=true&page=,Baterai Kamera,0,https://www.lazada.co.id/beli-baterai/?ajax=true&isFirstRequest=true&page=
beli-aksesoris-kamera-aksi,/?ajax=true&isFirstRequest=true&page=,Aksesoris Kamera Aksi,0,https://www.lazada.co.id/beli-aksesoris-kamera-aksi/?ajax=true&isFirstRequest=true&page=
jual-film-kamera-instan,/?ajax=true&isFirstRequest=true&page=,Aksesoris Kamera Instan,0,https://www.lazada.co.id/jual-film-kamera-instan/?ajax=true&isFirstRequest=true&page=
beli-perlengkapan-lighting-studio,/?ajax=true&isFirstRequest=true&page=,Perlengkapan Lightning & Studio,0,https://www.lazada.co.id/beli-perlengkapan-lighting-studio/?ajax=true&isFirstRequest=true&page=
shop-penyimpanan-data,/?ajax=true&isFirstRequest=true&page=,Penyimpanan Data,0,https://www.lazada.co.id/shop-penyimpanan-data/?ajax=true&isFirstRequest=true&page=
jual-flash-drives,/?ajax=true&isFirstRequest=true&page=,Flash Drive,0,https://www.lazada.co.id/jual-flash-drives/?ajax=true&isFirstRequest=true&page=
jual-otg-drives,/?ajax=true&isFirstRequest=true&page=,OTG Drive,0,https://www.lazada.co.id/jual-otg-drives/?ajax=true&isFirstRequest=true&page=
beli-harddisk-eksternal,/?ajax=true&isFirstRequest=true&page=,Harddisk Eksternal,0,https://www.lazada.co.id/beli-harddisk-eksternal/?ajax=true&isFirstRequest=true&page=
beli-hard-drive-internal,/?ajax=true&isFirstRequest=true&page=,Hard Drive Internal,0,https://www.lazada.co.id/beli-hard-drive-internal/?ajax=true&isFirstRequest=true&page=
beli-solid-state-drive,/?ajax=true&isFirstRequest=true&page=,Internal SSD,0,https://www.lazada.co.id/beli-solid-state-drive/?ajax=true&isFirstRequest=true&page=
beli-external-solid-state-drive,/?ajax=true&isFirstRequest=true&page=,Eksternal SSD,0,https://www.lazada.co.id/beli-external-solid-state-drive/?ajax=true&isFirstRequest=true&page=
beli-printers,/?ajax=true&isFirstRequest=true&page=,Printer,0,https://www.lazada.co.id/beli-printers/?ajax=true&isFirstRequest=true&page=
tinta-printer,/?ajax=true&isFirstRequest=true&page=,Tinta Printer,0,https://www.lazada.co.id/tinta-printer/?ajax=true&isFirstRequest=true&page=
pencetak-3d,/?ajax=true&isFirstRequest=true&page=,Printer 3D,0,https://www.lazada.co.id/pencetak-3d/?ajax=true&isFirstRequest=true&page=
beli-printer-stand,/?ajax=true&isFirstRequest=true&page=,Printer POS & Thermal,0,https://www.lazada.co.id/beli-printer-stand/?ajax=true&isFirstRequest=true&page=
beli-mesin-fax,/?ajax=true&isFirstRequest=true&page=,Mesin Faks,0,https://www.lazada.co.id/beli-mesin-fax/?ajax=true&isFirstRequest=true&page=
printer-pemotong,/?ajax=true&isFirstRequest=true&page=,Mesin Cutting Sticker,0,https://www.lazada.co.id/printer-pemotong/?ajax=true&isFirstRequest=true&page=
modul-memori-printer,/?ajax=true&isFirstRequest=true&page=,Memori Printer,0,https://www.lazada.co.id/modul-memori-printer/?ajax=true&isFirstRequest=true&page=
jual-casing-cover-tablet,/?ajax=true&isFirstRequest=true&page=,Casing Tablet,0,https://www.lazada.co.id/jual-casing-cover-tablet/?ajax=true&isFirstRequest=true&page=
beli-keyboard-tablet,/?ajax=true&isFirstRequest=true&page=,Keyboard Tablet,0,https://www.lazada.co.id/beli-keyboard-tablet/?ajax=true&isFirstRequest=true&page=
beli-pen-stylus-tablet,/?ajax=true&isFirstRequest=true&page=,Pen Stylis Tablet,0,https://www.lazada.co.id/beli-pen-stylus-tablet/?ajax=true&isFirstRequest=true&page=
beli-komponen-komputer,/?ajax=true&isFirstRequest=true&page=,Komponen Komputer,0,https://www.lazada.co.id/beli-komponen-komputer/?ajax=true&isFirstRequest=true&page=
beli-ram,/?ajax=true&isFirstRequest=true&page=,RAM,0,https://www.lazada.co.id/beli-ram/?ajax=true&isFirstRequest=true&page=
beli-motherboard,/?ajax=true&isFirstRequest=true&page=,Motherboard,0,https://www.lazada.co.id/beli-motherboard/?ajax=true&isFirstRequest=true&page=
beli-prosesor,/?ajax=true&isFirstRequest=true&page=,Prosesor,0,https://www.lazada.co.id/beli-prosesor/?ajax=true&isFirstRequest=true&page=
beli-kartu-grafis,/?ajax=true&isFirstRequest=true&page=,Kartu Grafis,0,https://www.lazada.co.id/beli-kartu-grafis/?ajax=true&isFirstRequest=true&page=
beli-casing-cpu,/?ajax=true&isFirstRequest=true&page=,Casing Komputer,0,https://www.lazada.co.id/beli-casing-cpu/?ajax=true&isFirstRequest=true&page=
beli-power-supply-unit,/?ajax=true&isFirstRequest=true&page=,Power Supply Unit,0,https://www.lazada.co.id/beli-power-supply-unit/?ajax=true&isFirstRequest=true&page=
soundcard,/?ajax=true&isFirstRequest=true&page=,Soundcard,0,https://www.lazada.co.id/soundcard/?ajax=true&isFirstRequest=true&page=
beli-hard-drive-optikal,/?ajax=true&isFirstRequest=true&page=,Front Panel,0,https://www.lazada.co.id/beli-hard-drive-optikal/?ajax=true&isFirstRequest=true&page=
beli-water-cooling-system,/?ajax=true&isFirstRequest=true&page=,Water Cooling System,0,https://www.lazada.co.id/beli-water-cooling-system/?ajax=true&isFirstRequest=true&page=
pakaian-wanita,/?ajax=true&isFirstRequest=true&page=,Pakaian Wanita,0,https://www.lazada.co.id/pakaian-wanita/?ajax=true&isFirstRequest=true&page=
jeans-wanita,/?ajax=true&isFirstRequest=true&page=,Jeans Wanita,0,https://www.lazada.co.id/jeans-wanita/?ajax=true&isFirstRequest=true&page=
gaun-wanita,/?ajax=true&isFirstRequest=true&page=,Dress Wanita,0,https://www.lazada.co.id/gaun-wanita/?ajax=true&isFirstRequest=true&page=
kaos-atasan-wanita,/?ajax=true&isFirstRequest=true&page=,Atasan Wanita,0,https://www.lazada.co.id/kaos-atasan-wanita/?ajax=true&isFirstRequest=true&page=
sweater-dan-cardigan-wanita,/?ajax=true&isFirstRequest=true&page=,Sweater & Cardigan Wanita,0,https://www.lazada.co.id/sweater-dan-cardigan-wanita/?ajax=true&isFirstRequest=true&page=
celana-panjang-dan-pendek-wanita,/?ajax=true&isFirstRequest=true&page=,Celana & Legging Wanita,0,https://www.lazada.co.id/celana-panjang-dan-pendek-wanita/?ajax=true&isFirstRequest=true&page=
rok-wanita,/?ajax=true&isFirstRequest=true&page=,Rok Wanita,0,https://www.lazada.co.id/rok-wanita/?ajax=true&isFirstRequest=true&page=
jaket-dan-mantel-wanita,/?ajax=true&isFirstRequest=true&page=,Jaket & Mantel Wanita,0,https://www.lazada.co.id/jaket-dan-mantel-wanita/?ajax=true&isFirstRequest=true&page=
kaos-kaki-celana-tights-wanita,/?ajax=true&isFirstRequest=true&page=,Kaus Kaki & Celana Ketat Wanita,0,https://www.lazada.co.id/kaos-kaki-celana-tights-wanita/?ajax=true&isFirstRequest=true&page=
jual-celana-pendek-wanita,/?ajax=true&isFirstRequest=true&page=,Celana Pendek Wanita,0,https://www.lazada.co.id/jual-celana-pendek-wanita/?ajax=true&isFirstRequest=true&page=
overalls-jumpsuit-wanita,/?ajax=true&isFirstRequest=true&page=,Jumpsuit & Playsuit Wanita,0,https://www.lazada.co.id/overalls-jumpsuit-wanita/?ajax=true&isFirstRequest=true&page=
hoodie-sweatshirt-wanita,/?ajax=true&isFirstRequest=true&page=,Hoodie & Sweatshirt Wanita,0,https://www.lazada.co.id/hoodie-sweatshirt-wanita/?ajax=true&isFirstRequest=true&page=
baju-muslim-wanita,/?ajax=true&isFirstRequest=true&page=,Baju Muslim Wanita,0,https://www.lazada.co.id/baju-muslim-wanita/?ajax=true&isFirstRequest=true&page=
hijab,/?ajax=true&isFirstRequest=true&page=,Hijab,0,https://www.lazada.co.id/hijab/?ajax=true&isFirstRequest=true&page=
atasan-muslimah-wanita,/?ajax=true&isFirstRequest=true&page=,Atasan Muslimah,0,https://www.lazada.co.id/atasan-muslimah-wanita/?ajax=true&isFirstRequest=true&page=
dress-muslimah,/?ajax=true&isFirstRequest=true&page=,Baju Muslim & Jumpsuit,0,https://www.lazada.co.id/dress-muslimah/?ajax=true&isFirstRequest=true&page=
bawahan-muslimah,/?ajax=true&isFirstRequest=true&page=,Bawahan Muslim Wanita,0,https://www.lazada.co.id/bawahan-muslimah/?ajax=true&isFirstRequest=true&page=
jaket-dan-kardigan-wanita-muslim,/?ajax=true&isFirstRequest=true&page=,Luaran Muslim Wanita,0,https://www.lazada.co.id/jaket-dan-kardigan-wanita-muslim/?ajax=true&isFirstRequest=true&page=
