shop_code,shop_name,total_page,shop_id
nutrimart,Nutrimart,2,12656836
pzcussonsofficialstore,Cussons Official Shop,2,175473624
wiprounzaofficialshop,Wipro Unza Official Shop,2,63682929
apoteksiwalan,Apotek Siwalan by GoApotik,2,253111673
kapalapistore,Kapal Api Store Official Shop,2,24114453
sukahatimester,sukahatimester,2,306313761
freezyfresh.id,Freezy Fresh Official Shop,2,259292994
apotekkombi,Apotek Kombi by GoApotik,2,261458923
apoteksuryabandung,Apotek Surya Bandung by GoApotik,2,261906157
apotekcentrofarma,Apotek Centro Farma by GoApotik,2,254194651
freezyfresh.jakpus,Freezy Fresh Authorized Store Jakarta Pusat,2,398249023
freezyfresh.jakbar,Freezy Fresh Authorized Store Jakarta Barat,2,275598105
nivea.official.store,NIVEA Official Store,2,39283823
erhastoreofficialsurabaya,ERHASTORE OFFICIAL SURABAYA,2,902683666
freezyfresh.bogor,Freezy Fresh Authorized Store Bogor,2,266670855
hmart.id,H Mart Official Shop,2,224534553
johnsonnjohnson.id,Johnson & Johnson Official Shop,2,50708029
freezyfresh.bekasi,Freezy Fresh Authorized Store Bekasi,2,284608755
indofoodofficialshop,Indofood Official Shop,2,662865944
marthatilaarshop,Martha Tilaar Official Shop,2,34904037
supplierbumbu,Supplier Bumbu Surabaya,2,317179127
freezyfresh.depok,Freezy Fresh Authorized Store Depok,2,271983010
apotekklampisfarma,Apotek Klampis Farma by GoApotik,2,254167970
nestle.official.store,Nestle Indonesia,2,52733860
mitrasanabandung,Mitrasana Authorized Store Bandung,2,194886671
raja.susu,Raja Susu Official Shop,2,34554323
istanasusu,Istana Susu,2,28173323
thebodyshopofficial,The Body Shop Official,2,28053737
rumahrasa.store,Rumah Rasa,2,18426189
godrejindonesia,Godrej Indonesia Official Shop,2,73266191
dettolvanishharpic,Dettol Vanish & Harpic Store,2,6936785
kaoofficial,Kao Official Shop,2,36092728
asics_official,ASICS Official Shop,2,472404366
levisofficial,Levi's Official Store,2,132707782
klikdokterofficial,KlikDokter Official Shop,2,47410475
kinoofficial,KINO Official Shop,2,38301814
apotektowerfarma,Apotek Tower Farma by GoApotik,2,257886177
ervinameliawati,Rejeki Snack,2,13217892
mitrasana.surabaya,Mitrasana Authorized Store Surabaya,2,282973138
k24klik,K24Klik,2,78839503
centuryamboncitycenter,Century Authorized Store Ambon City Center,2,965001357
apoteksinarhusada,Apotek Sinar Husada by Goapotik,2,254198164
supergrosirmama,Super Grosir Mama Official Shop,2,253539695
